
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
ADD       01-071313 U US AL MUSCLE SHOALS    34 42 52.47N 087 37 58.68W T-L TWR            1 00059 00564 N 4 D N 2022ASO17389OE A2024361 
ADD       01-071314 U US AL MUSCLE SHOALS    34 42 48.24N 087 37 58.35W T-L TWR            1 00066 00579 N 4 D N 2022ASO17390OE A2024361 
ADD       01-071315 U US AL MUSCLE SHOALS    34 42 13.39N 087 37 55.75W T-L TWR            1 00052 00549 N 4 D N 2022ASO17391OE A2024361 
ADD       01-071316 U US AL MUSCLE SHOALS    34 41 55.16N 087 37 54.64W T-L TWR            1 00061 00571 N 4 D N 2022ASO17392OE A2024361 
ADD       01-071317 U US AL MUSCLE SHOALS    34 41 50.18N 087 37 54.35W T-L TWR            1 00057 00565 N 4 D N 2022ASO17393OE A2024361 
ADD       01-071318 U US AL MUSCLE SHOALS    34 41 40.91N 087 37 53.79W UTILITY POLE       1 00048 00554 N 4 D N 2022ASO17394OE A2024361 
ADD       01-071319 U US AL MUSCLE SHOALS    34 41 31.05N 087 37 53.19W UTILITY POLE       1 00044 00552 N 4 D N 2022ASO17395OE A2024361 
ADD       01-071322 U US AL MUSCLE SHOALS    34 25 54.49N 087 39 37.39W T-L TWR            1 00060 01060 N 4 D N 2022ASO17398OE A2024361 
ADD       01-071323 U US AL MUSCLE SHOALS    34 25 52.53N 087 39 37.44W UTILITY POLE       1 00050 01066 N 4 D N 2022ASO17399OE A2024361 
ADD       01-071324 U US AL MUSCLE SHOALS    34 25 46.19N 087 39 37.61W T-L TWR            1 00051 00949 N 4 D N 2022ASO17400OE A2024361 
ADD       01-071325 U US AL MUSCLE SHOALS    34 24 31.48N 087 39 33.60W T-L TWR            1 00052 01110 N 4 D N 2022ASO17401OE A2024361 
OLD       01-071332 O US AL TUSCUMBIA        34 35 52.22N 087 55 41.05W TOWER              1 00255 00889 N 1 A N 2023ASO32099OE A2024071 
NEW       01-071332 O US AL TUSCUMBIA        34 35 52.22N 087 55 41.05W TOWER              1 00265 00899 D 1 A N 2024ASO05888OE C2024331 
ADD       01-071337 U US AL SELMONT          32 22 50.30N 087 01 04.90W T-L TWR            1 00095 00202 N 4 D N 2024ASO00480OE A2024334 
ADD       01-071357 U US AL JASPER           33 53 16.63N 087 22 33.63W TOWER              1 00063 00610 N 4 D N 2022ASO13358OE A2024334 
ADD       01-071369 U US AL VALLEY           32 45 39.80N 085 12 52.80W POLE               1 00090 00834 N 4 D N 2024ASO02162OE A2024334 
ADD       01-071377 U US AL PELL CITY        33 34 03.20N 086 14 33.12W BLDG               1 00023 00503 R 4 D N 2023ASO14586OE A2024334 
ADD       01-074660 O US AL HOPE HULL        32 14 12.73N 086 24 44.08W TOWER              1 00199 00411 N 1 A N 2023ASO30447OE A2024334 
ADD       01-074662 U US AL HUNTSVILLE       34 39 57.58N 086 46 16.80W POLE               1 00070 00725 N 4 D N 2022ASO22656OE A2024334 
ADD       01-074664 U US AL REDSTONE ARSENAL 34 42 22.40N 086 40 15.38W POLE               1 00070 00748 N 4 D N 2022ASO24500OE A2024334 
ADD       01-074675 U US AL BIRMINGHAM       33 30 17.00N 086 48 46.00W BLDG               1 00087 00679 N 4 D N 2020ASO37308OE A2024332 
ADD       01-074678 U US AL BESSEMER         33 18 44.36N 086 59 34.93W T-L TWR            1 00097 00607 N 4 D N 2021ASO32690OE A2024337 
ADD       01-074679 U US AL BESSEMER         33 20 35.84N 086 58 16.57W T-L TWR            1 00111 00739 N 4 D N 2021ASO32691OE A2024337 
ADD       01-074690 O US AL SAMSON           31 06 44.80N 086 03 48.10W TANK               1 00140 00350 N 2 C N 2024ASO05807OE A2024334 
ADD       01-074697 O US AL FORT DEPOSIT     31 58 36.75N 086 34 30.16W TOWER              1 00194 00657 N 1 A N 2023ASO32486OE A2024337 
ADD       01-074701 U US AL ENTERPRISE       31 20 33.00N 085 51 43.00W T-L TWR            1 00084 00413 N 4 D N 2020ASO35102OE A2024337 
OLD       01-074704 O US AL ARLEY            34 09 18.03N 087 11 01.11W TOWER              1 00265 01067 D 1 A N 2023ASO18091OE A2024142 
NEW       01-074704 O US AL ARLEY            34 09 18.03N 087 11 01.11W TOWER              1 00265 01067 D 1 A N 2024ASO13860OE C2024330 
ADD       01-074709 O US AL BREWTON          31 06 44.59N 087 04 02.71W TOWER              1 00194 00299 N 1 A N 2023ASO00233OE A2024331 
ADD       01-074711 O US AL BESSEMER         33 21 02.99N 087 00 40.96W TOWER              1 00200 00710 N 4 D N 2024ASO05135OE A2024331 
OLD       01-074714 U US AL BIRMINGHAM       33 34 42.07N 086 45 07.51W TOWER              1 00049 00800 N 1 A N 2024ASO01182OE A2024149 
NEW       01-074714 O US AL BIRMINGHAM       33 34 42.07N 086 45 07.51W TOWER              1 00049 00800 N 1 A N 2024ASO01182OE C2024330 
OLD       01-074776 O US AL DOTHAN           31 06 41.68N 085 24 15.38W TOWER              1 00275 00534 D 1 A N 2023ASO28233OE A2024197 
NEW       01-074776 O US AL DOTHAN           31 06 41.68N 085 24 15.38W TOWER              1 00271 00530 D 1 A N 2023ASO28233OE C2024330 
OLD       01-074784 O US AL TITUS            32 43 25.30N 086 18 29.50W TOWER              1 00311 00807 D 1 A N 2023ASO09574OE A2024227 
NEW       01-074784 O US AL TITUS            32 43 25.30N 086 18 29.50W TOWER              1 00311 00807 D 1 A N 2023ASO28237OE C2024331 
ADD       01-074820 O US AL FALKVILLE        34 22 42.05N 086 53 44.47W TOWER              1 00345 00976 D 1 A N 2023ASO30984OE A2024330 
ADD       01-074835 O US AL MONTGOMERY       32 19 05.92N 086 27 07.58W TOWER              1 00225 00445 D 1 A N 2023ASO12071OE A2024330 
